第0题的答案：	442'11/67
第1153题的答案：	-67749
第1154题的答案：	232'509/936
第1155题的答案：	199
第1156题的答案：	218'111/115
第1157题的答案：	1708
第1158题的答案：	-176095
第1159题的答案：	416'115/124
第1160题的答案：	386/437
第1161题的答案：	3300500
第1162题的答案：	382'8/51
第1163题的答案：	441294
第1164题的答案：	47986
第1165题的答案：	14490
第1166题的答案：	45223062
第1167题的答案：	1'108/331
第1168题的答案：	421/340228
第1169题的答案：	324'113/164
第1170题的答案：	726'113/260
第1171题的答案：	18/428443
第1172题的答案：	20700
第1173题的答案：	1607
第1174题的答案：	256266240
第1175题的答案：	171
第1176题的答案：	100'700/797
第1177题的答案：	30240
第1178题的答案：	81
第1179题的答案：	53/62720
第1180题的答案：	-538
第1181题的答案：	3'218/255
第1182题的答案：	787/538160
第1183题的答案：	20625
第1184题的答案：	-430707/962
第1185题的答案：	-616006
第1186题的答案：	313500
第1187题的答案：	1168
第1188题的答案：	-361
第1189题的答案：	40/467
第1190题的答案：	308'98/389
第1191题的答案：	68168
第1192题的答案：	1'5/44
第1193题的答案：	1732
第1194题的答案：	703/297792
第1195题的答案：	312
第1196题的答案：	1015
第1197题的答案：	490466
第1198题的答案：	742'55/686
第1199题的答案：	237'10/379
第1200题的答案：	466/17507
第1201题的答案：	266444992
第1202题的答案：	788'31/52
第1203题的答案：	223
第1204题的答案：	54515
第1205题的答案：	221/470454
第1206题的答案：	1484
第1207题的答案：	966
第1208题的答案：	165/749
第1209题的答案：	39/119
第1210题的答案：	-128049/674
第1211题的答案：	-455619
第1212题的答案：	652'261/275
第1213题的答案：	867
第1214题的答案：	901/43561
第1215题的答案：	291'22/29
第1216题的答案：	237
第1217题的答案：	1389
第1218题的答案：	234'39/67
第1219题的答案：	-737
第1220题的答案：	1513
第1221题的答案：	137'246/475
第1222题的答案：	-340
第1223题的答案：	14681736
第1224题的答案：	23378216
第1225题的答案：	-769288/799
第1226题的答案：	832
第1227题的答案：	1160
第1228题的答案：	159429
第1229题的答案：	-381
第1230题的答案：	-808
第1231题的答案：	5'58/93
第1232题的答案：	535'212/345
第1233题的答案：	1'152/295
第1234题的答案：	398/340275
第1235题的答案：	663'167/331
第1236题的答案：	2348
第1237题的答案：	1232'128/357
第1238题的答案：	1137
第1239题的答案：	66771
第1240题的答案：	417'52/87
第1241题的答案：	147
第1242题的答案：	461
第1243题的答案：	141180
第1244题的答案：	431
第1245题的答案：	35927
第1246题的答案：	-344374
第1247题的答案：	255
第1248题的答案：	-388569/536
第1249题的答案：	373'90/923
第1250题的答案：	-30445/112
第1251题的答案：	-596
第1252题的答案：	74925
第1253题的答案：	706
第1254题的答案：	1218
第1255题的答案：	316798
第1256题的答案：	83/11046
第1257题的答案：	913
第1258题的答案：	521815
第1259题的答案：	673'59/274
第1260题的答案：	-289
第1261题的答案：	-31525/107
第1262题的答案：	130
第1263题的答案：	17'143/499
第1264题的答案：	66/52003
第1265题的答案：	30220
第1266题的答案：	169671897
第1267题的答案：	624'143/329
第1268题的答案：	-305
第1269题的答案：	-81823/215
第1270题的答案：	577980
第1271题的答案：	-275
第1272题的答案：	410
第1273题的答案：	-918
第1274题的答案：	755'31/343
第1275题的答案：	110904
第1276题的答案：	254886
第1277题的答案：	907
第1278题的答案：	-281
第1279题的答案：	1333
第1280题的答案：	619
第1281题的答案：	1060
第1282题的答案：	609216
第1283题的答案：	122
第1284题的答案：	792
第1285题的答案：	84/863
第1286题的答案：	309774780
第1287题的答案：	316'8/193
第1288题的答案：	19603720
第1289题的答案：	-276713
第1290题的答案：	-66
第1291题的答案：	199691
第1292题的答案：	211
第1293题的答案：	631'65/151
第1294题的答案：	286'9/25
第1295题的答案：	296'12/97
第1296题的答案：	840'136/253
第1297题的答案：	1085
第1298题的答案：	40'56/109
第1299题的答案：	25904600
第1300题的答案：	461'727/972
第1301题的答案：	-641
第1302题的答案：	1910
第1303题的答案：	179507
第1304题的答案：	1488
第1305题的答案：	260'70/193
第1306题的答案：	33/419
第1307题的答案：	386475
第1308题的答案：	503/235846
第1309题的答案：	29'20/29
第1310题的答案：	303'51/199
第1311题的答案：	45/767
第1312题的答案：	8495424
第1313题的答案：	47637
第1314题的答案：	493
第1315题的答案：	37'52/155
第1316题的答案：	330
第1317题的答案：	1810'182/277
第1318题的答案：	-544891
第1319题的答案：	199/26904
第1320题的答案：	84'25/744
第1321题的答案：	125353
第1322题的答案：	641354
第1323题的答案：	119/63360
第1324题的答案：	202469
第1325题的答案：	215'35/71
第1326题的答案：	30046
第1327题的答案：	1'4/101
第1328题的答案：	503454
第1329题的答案：	1509
第1330题的答案：	205
第1331题的答案：	-23153
第1332题的答案：	334'70/277
第1333题的答案：	647'62/761
第1334题的答案：	178/411999
第1335题的答案：	318/919
第1336题的答案：	257'31/418
第1337题的答案：	508
第1338题的答案：	-107588
第1339题的答案：	456
第1340题的答案：	667'13/40
第1341题的答案：	495
第1342题的答案：	1086
第1343题的答案：	-182
第1344题的答案：	428076
第1345题的答案：	997
第1346题的答案：	188'108/167
第1347题的答案：	213200
第1348题的答案：	27/28
第1349题的答案：	458
第1350题的答案：	63360
第1351题的答案：	1221
第1352题的答案：	8262'19/37
第1353题的答案：	1'214/711
第1354题的答案：	354'135/157
第1355题的答案：	86999
第1356题的答案：	113533200
第1357题的答案：	-1153
第1358题的答案：	186'343/438
第1359题的答案：	397'1/30
第1360题的答案：	1169
第1361题的答案：	244014
第1362题的答案：	879'319/910
第1363题的答案：	187144272
第1364题的答案：	-27121/28
第1365题的答案：	255780
第1366题的答案：	565
第1367题的答案：	13
第1368题的答案：	281'23/55
第1369题的答案：	-73353/233
第1370题的答案：	986'244/479
第1371题的答案：	172356
第1372题的答案：	514
第1373题的答案：	508/338655
第1374题的答案：	687'272/343
第1375题的答案：	1449
第1376题的答案：	-281
第1377题的答案：	1157
第1378题的答案：	22178
第1379题的答案：	10224
第1380题的答案：	297959
第1381题的答案：	28169
第1382题的答案：	-111997/623
第1383题的答案：	193
第1384题的答案：	20
第1385题的答案：	-101287/471
第1386题的答案：	-43148/95
第1387题的答案：	-763
第1388题的答案：	158424
第1389题的答案：	892
第1390题的答案：	510'3/580
第1391题的答案：	902
第1392题的答案：	226'22/199
第1393题的答案：	11286
第1394题的答案：	1655
第1395题的答案：	2/3
第1396题的答案：	2523
第1397题的答案：	303943
第1398题的答案：	23'133/169
第1399题的答案：	354678
第1400题的答案：	671/815
第1401题的答案：	27488
第1402题的答案：	832'175/218
第1403题的答案：	-759
第1404题的答案：	256428
第1405题的答案：	-410024
第1406题的答案：	1510
第1407题的答案：	1374
第1408题的答案：	1007
第1409题的答案：	564261
第1410题的答案：	1193
第1411题的答案：	-15709
第1412题的答案：	701'111/617
第1413题的答案：	28559
第1414题的答案：	2
第1415题的答案：	506
第1416题的答案：	757'265/673
第1417题的答案：	-284474/447
第1418题的答案：	416'86/223
第1419题的答案：	-358
第1420题的答案：	393
第1421题的答案：	377
第1422题的答案：	265'278/691
第1423题的答案：	146754
第1424题的答案：	168879
第1425题的答案：	706'760/873
第1426题的答案：	479'263/354
第1427题的答案：	1'15/34
第1428题的答案：	208709
第1429题的答案：	752'23/78
第1430题的答案：	585971
第1431题的答案：	22
第1432题的答案：	651
第1433题的答案：	983/150234
第1434题的答案：	89266176
第1435题的答案：	234938
第1436题的答案：	404'405/964
第1437题的答案：	-97
第1438题的答案：	1527
第1439题的答案：	104884
第1440题的答案：	25803
第1441题的答案：	553
第1442题的答案：	181/5120
第1443题的答案：	617'145/971
第1444题的答案：	800'100/121
第1445题的答案：	338'184/439
第1446题的答案：	-158
第1447题的答案：	-32863/55
第1448题的答案：	1715
第1449题的答案：	1'69/914
第1450题的答案：	-65
第1451题的答案：	272305
第1452题的答案：	1'161/697
第1453题的答案：	62330
第1454题的答案：	362'215/223
第1455题的答案：	-16123/44
第1456题的答案：	1/216
第1457题的答案：	45
第1458题的答案：	586
第1459题的答案：	54'169/639
第1460题的答案：	6
第1461题的答案：	68924842
第1462题的答案：	770'38/67
第1463题的答案：	-62
第1464题的答案：	1592
第1465题的答案：	869/159395
第1466题的答案：	899'278/337
第1467题的答案：	1885
第1468题的答案：	-10575
第1469题的答案：	517531
第1470题的答案：	-3129/10
第1471题的答案：	-1182
第1472题的答案：	1792
第1473题的答案：	-555
第1474题的答案：	50610
第1475题的答案：	219296
第1476题的答案：	760'91/274
第1477题的答案：	253'13/198
第1478题的答案：	1520
第1479题的答案：	707
第1480题的答案：	2'123/275
第1481题的答案：	237'4/75
第1482题的答案：	93874
第1483题的答案：	82'130/627
第1484题的答案：	-649
第1485题的答案：	617'316/341
第1486题的答案：	143
第1487题的答案：	61796904
第1488题的答案：	72'280/507
第1489题的答案：	99408
第1490题的答案：	746'109/133
第1491题的答案：	75'15/53
第1492题的答案：	988
第1493题的答案：	95/40273
第1494题的答案：	892
第1495题的答案：	468'20/27
第1496题的答案：	97/6386
第1497题的答案：	99/140200
第1498题的答案：	215
第1499题的答案：	1509
第1500题的答案：	443
第1501题的答案：	-168
第1502题的答案：	1794
第1503题的答案：	28231
第1504题的答案：	1903'74/91
第1505题的答案：	338
第1506题的答案：	30059692
第1507题的答案：	616'21/26
第1508题的答案：	1690
第1509题的答案：	-120
第1510题的答案：	303684
第1511题的答案：	152
